Company name,Street address,City,State,Zip,County,Mailing Address,Mailing City,Mailing State,Mailing Zip,Phone,Web Address,Contact Email,Headquarters,Year Founded,Services Offered,Firm Characteristics,Ownership Type,Employees Local,Employees Statewide,Employees Worldwide,Universal Employees,Revenue volume 2021 Companywide,Revenue volume 2020,Universal Revenue,Leadership Executive(s)First name,Leadership Executive(s)Middle Name,Leadership Executive(s)Last name,Leadership Executive(s)Suffix,Leadership Executive(s)Title,Leadership Executive(s)Email,Leadership Executive(s)Phone,Footnotes
#TechStarters,"1111 Marlkress Road, Suite 204",Cherry Hill,New Jersey,08003,Camden,,,,,(877) 932-0040,Microsoft.TechStarters.com,info@techstarters.com,,2010,IT Company,,Private,,27,,,,,,David,,Suleski,,President,david.suleski@techstarters.com,,
(PSC) Princeton Strategic Communications,160 W. State St.,Trenton,New Jersey,08608,Mercer,,,,,(609) 278-1600,www.princetonsc.com,norris@princetonsc.com,Trenton,2012,"PSC is a full-service award-winning marketing and strategic communications firm where ""your story is our strategy."" Affiliated with PPAG and WSW.",,Corporation,,,,22,1717791,,2185486,Norris,,Clark,,Managing Partner,norris@princetonsc.com,609-425-1325,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
(PSC) Princeton Strategic Communications,160 W. State St.,Trenton,New Jersey,08608,Mercer,,,,,(609) 278-1600,www.princetonsc.com,norris@princetonsc.com,Trenton,2012,"PSC is a full-service award-winning marketing and strategic communications firm where ""your story is our strategy."" Affiliated with PPAG and WSW.",,Corporation,,,,22,1717791,,2185486,Ethan,,Andersen,,Partner,ethan@princetonsc.com,‭(732) 207-6771‬,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
1868 Public Affairs,"162 W. State St., 1st Floor",Trenton,New Jersey,08608,Mercer,,,,,(609) 394-0888,www.1868publicaffairs.com,,,2005,,,Private,,,,,,,,Richard,,Ambrosino,Jr.,Managing Partner,rich@1868Publicaffairs.com,(609) 394-0888,
1868 Public Affairs,"162 W. State St., 1st Floor",Trenton,New Jersey,08608,Mercer,,,,,(609) 394-0888,www.1868publicaffairs.com,,,2005,,,Private,,,,,,,,Idida,,Rodriguez,,Partner,,,
1868 Public Affairs,"162 W. State St., 1st Floor",Trenton,New Jersey,08608,Mercer,,,,,(609) 394-0888,www.1868publicaffairs.com,,,2005,,,Private,,,,,,,,LeRoy,,Jones,,Partner,,,
1868 Public Affairs,"162 W. State St., 1st Floor",Trenton,New Jersey,08608,Mercer,,,,,(609) 394-0888,www.1868publicaffairs.com,,,2005,,,Private,,,,,,,,Patrick,,Torpey,,Partner,,,
1st Bank of Sea Isle City,4301 Landis Ave.,Sea Isle City,New Jersey,08243,Cape May,,,,,(609) 263-4102,www.1stbankseaisle.com,,,1888,Savings Institutions,,Private,,,,,,,,Larry,C.,Schmidt,,President,,,
1st Colonial Community Bank,1040 Haddon Ave.,Collingswood,New Jersey,08108-2046,Camden,,,,,(856) 858-1100,www.1stcolonial.com,info@1stcolonial.com,,2002,,,Public,,,,,,,,Robert,,White,,"On Jan. 30, 2020, the boards of directors for 1st Colonial Bancorp Inc. and its subsidiary - 1st Colonial Bank - announced Robert White as president and chief executive officer for the Collingswood-based holding company and financial institution. He succeeds current President and CEO Gerard Banmiller, who is retiring.",,,
3E Public Relations,19D Chapin Road,Pine Brook,New Jersey,07058,Morris,19D Chapin road,Pine Brook,New Jersey,07058,(973) 263-5475,www.3EPR.com,info@3EPR.com,Pine Brook,2013,"Full service award-winning public relations, social media, and content creation firm with proven track record of success and long-standing clients.",Locally owned,Private,,,,12,2350000,975000,3100000,Megan,L.,Redzia,,Executive Vice President,mredzia@3epr.com,,"Universal Employees: Source: # Employees, Statewide (2023);  Universal Revenue: Source: Revenue volume (2022)"
