,Office,Address,Phone Number,Website
0,Central Dental Care,"137 Summit Ave, Summit, NJ 07901",+19082734688,https://www.centraldentalcarenj.com
1,Central Jersey Dental,"294 Applegarth Rd Ste H-1, Monroe Township, NJ 08831",+17322517766,http://centraljerseydental.com
2,T Dental PC,"450 Main St Suite 2, Metuchen, NJ 08840",+17329022828,https://www.tdentalnj.com
3,"Family Dental Practice of New Jersey, LLC","560 Newark Ave, Elizabeth, NJ 07208",+19083557800,http://www.familydentalpracticenj.com
4,"Mercer Smiles Family Dentistry | Family, Implant & Cosmetic Dentist in Central New Jersey","17 Main St Suite 301, Robbinsville Twp, NJ 08691",+16092708540,https://www.njsmilesdentistry.com
5,Park Family Dental,,,
6,Central Jersey Dental Arts,"1056 Stelton Rd, Piscataway, NJ 08854",+17329811040,http://www.cjdentalarts.com
7,Scotch Plains Fanwood Dental Care,"44 S Martine Ave, Fanwood, NJ 07023",+19083223222,https://www.spfdentalcare.com
8,Unique Family Dentistry,"223 S Wood Ave, Linden, NJ 07036",+19087728640,https://www.uniquefamilydentistry.com
9,Union Family Dental,"2333 Morris Ave Suite A111, Union, NJ 07083",+19086877036,https://www.unionfamilydentalnj.com
10,Family Dentistry of New Jersey,"56 Ramtown-Greenville Rd, Howell Township, NJ 07731",+17324582288,https://familydentistryofnewjersey.com
11,SN Family Dental Center,"180 N Main St, Milltown, NJ 08850",+17322473684,https://www.snfamilydental.com
12,NÜVA Smile,"1070 NJ-18, East Brunswick, NJ 08816",+17326130008,https://www.njdentalcenters.com/dentist-east-brunswick-nj
13,Advanced Family Dentistry of South Plainfield,"133 S Plainfield Ave, South Plainfield, NJ 07080",+19083222244,https://www.greatsmileforu.com
14,Hightstown Family Dentistry,"208 S Main St, Hightstown, NJ 08520",+16094480243,http://www.hightstownfamilydentistry.com
15,Modern Dental Care,"375 US-130 #101, East Windsor, NJ 08520",+16094483040,http://www.moderndentalnj.com
16,Fords Family Dental Care,"532 New Brunswick Ave, Fords, NJ 08863",+17327389087,http://fordsfamilydental.com
17,Skyline Dental,"223 Mountain Ave, Springfield, NJ 07081",+19739490925,https://www.sdentalnj.com
